date,AAPL,AMZN,F
2015-07-15,119.6539,461.19,12.1568
2015-07-16,121.2484,475.48,12.0084
2015-07-17,122.2956,483.01,12.1073
2015-07-20,124.6072,488.1,12.0084
2015-07-21,123.3618,488.0,11.959
2015-07-22,118.1443,488.27,11.8848
2015-07-23,118.0877,482.18,12.0414
2015-07-24,117.465,529.42,11.8601
2015-07-27,115.8327,531.41,11.9919
2015-07-28,116.4082,526.03,12.2227
2015-07-29,116.0403,529.0,12.664
2015-07-30,115.4553,536.76,12.5724
2015-07-31,114.4458,536.15,12.3476
2015-08-03,111.7474,535.03,12.4392
2015-08-04,108.1621,531.9,12.4142
2015-08-05,108.8792,537.01,12.3226
2015-08-06,109.1161,529.46,12.3476
2015-08-07,109.4857,522.62,12.3226
2015-08-10,113.4663,524.0,12.4808
2015-08-11,107.5618,527.46,12.2394
2015-08-12,109.2204,525.91,12.2227
2015-08-13,109.1351,529.66,12.2477
2015-08-14,109.9027,531.52,12.306
2015-08-17,111.0401,535.22,12.2227
2015-08-18,110.4145,535.02,12.3476
2015-08-19,109.0024,532.92,12.2976
2015-08-20,106.7656,515.78,12.0145
2015-08-21,100.2355,494.47,11.54
2015-08-24,97.7334,463.37,10.9821
2015-08-25,98.3211,466.37,10.7407
2015-08-26,103.9603,500.77,10.9988
2015-08-27,107.0215,518.37,11.2902
2015-08-28,107.3722,518.01,11.44
2015-08-31,106.8699,512.89,11.5483
2015-09-01,102.0932,496.54,11.4234
2015-09-02,106.4718,510.55,11.5483
2015-09-03,104.6047,504.72,11.5233
2015-09-04,103.5622,499.0,11.2902
2015-09-08,106.4434,517.54,11.3818
2015-09-09,104.3962,516.89,11.2652
2015-09-10,106.6898,522.24,11.4317
2015-09-11,108.2442,529.44,11.4151
2015-09-14,109.2867,521.38,11.4734
2015-09-15,110.206,522.37,11.9146
2015-09-16,110.3292,527.39,12.1894
2015-09-17,107.9693,538.87,12.1561
2015-09-18,107.5239,540.26,11.8897
2015-09-21,109.1919,548.39,11.923
2015-09-22,107.4765,538.4,11.5899
2015-09-23,108.3484,536.07,11.3901
2015-09-24,108.9929,533.75,11.3651
2015-09-25,108.718,524.25,11.2652
2015-09-28,106.5666,504.06,10.9238
2015-09-29,103.3632,496.07,10.9488
2015-09-30,104.5384,511.89,11.2985
2015-10-01,103.856,520.72,11.3818
2015-10-02,104.6142,532.54,11.6482
2015-10-05,104.9933,543.68,11.8147
2015-10-06,105.4956,537.48,11.9146
2015-10-07,104.9933,541.94,12.281
2015-10-08,103.7802,533.16,12.4808
2015-10-09,106.2633,539.8,12.4642
2015-10-12,105.7705,550.19,12.4725
2015-10-13,105.9506,548.9,12.4392
2015-10-14,104.4531,544.83,12.4975
2015-10-15,106.0169,562.44,12.6723
2015-10-16,105.2397,570.76,12.7223
2015-10-19,105.8937,573.15,12.7889
2015-10-20,107.8271,560.88,12.8055
2015-10-21,107.8177,555.77,12.8305
2015-10-22,109.4668,563.91,12.972
2015-10-23,112.8598,599.03,13.047
2015-10-26,109.2583,608.61,13.0553
2015-10-27,108.5664,611.01,12.3976
2015-10-28,113.0398,617.1,12.591
2015-10-29,114.234,626.55,12.3891
2015-10-30,113.2578,625.9,12.4564
2015-11-02,114.8501,628.35,12.406
2015-11-03,116.1675,625.31,12.4564
2015-11-04,115.6272,640.95,12.3219
2015-11-05,115.0942,655.65,12.2546
2015-11-06,115.2274,659.37,12.2125
2015-11-09,114.761,655.49,12.0527
2015-11-10,111.1441,659.68,12.0107
2015-11-11,110.5159,673.25,12.0359
2015-11-12,110.1447,665.6,11.8088
2015-11-13,106.9276,642.35,11.7079
2015-11-16,108.6742,647.81,11.8088
2015-11-17,108.2125,643.3,11.9013
2015-11-18,111.6391,663.54,12.1621
2015-11-19,113.0573,661.27,12.2546
2015-11-20,113.5522,668.45,12.2798
2015-11-23,112.0769,678.99,12.2377
2015-11-24,113.1525,671.15,12.2377
2015-11-25,112.3434,675.34,12.2377
2015-11-27,112.134,673.26,12.2209
2015-11-30,112.6004,664.8,12.0527
2015-12-01,111.6867,679.06,12.2462
2015-12-02,110.6777,676.01,11.9938
2015-12-03,109.6498,666.25,11.7583
2015-12-04,113.2952,672.64,11.9434
2015-12-07,112.5814,669.83,11.8761
2015-12-08,112.5338,677.33,11.7499
2015-12-09,110.0495,664.79,11.6826
2015-12-10,110.573,662.32,11.7415
2015-12-11,107.7271,640.15,11.4724
2015-12-14,107.0608,657.91,11.4555
2015-12-15,105.1667,658.64,11.6658
2015-12-16,105.9757,675.77,12.0779
2015-12-17,103.7294,670.65,11.7583
2015-12-18,100.9216,664.14,11.6069
2015-12-21,102.1589,664.51,11.5481
2015-12-22,102.0638,663.15,11.9434
2015-12-23,103.3773,663.7,12.0779
2015-12-24,102.8252,662.79,12.0359
2015-12-28,101.6735,675.2,11.9265
2015-12-29,103.501,693.97,11.9686
2015-12-30,102.1494,689.07,11.9181
2015-12-31,100.1887,675.89,11.8508
2016-01-04,100.2743,636.99,11.7499
2016-01-05,97.7615,633.79,11.5396
2016-01-06,95.8484,632.65,11.0266
2016-01-07,91.8031,607.94,10.6817
2016-01-08,92.2886,607.05,10.5472
2016-01-11,93.7829,617.74,10.7406
2016-01-12,95.144,617.89,10.8079
2016-01-13,92.6978,581.81,10.2612
2016-01-14,94.7252,593.0,10.2528
2016-01-15,92.4504,570.18,10.0678
2016-01-19,92.003,574.48,10.0509
2016-01-20,92.1267,571.77,10.0089
2016-01-21,91.6604,575.02,10.1014
2016-01-22,96.5337,596.38,10.2107
2016-01-25,94.6491,596.53,10.0762
2016-01-26,95.1726,601.25,10.3117
2016-01-27,88.9191,583.35,10.3003
2016-01-28,89.5568,635.35,10.1786
2016-01-29,92.6502,587.0,10.3786
2016-02-01,91.7841,574.81,10.4916
2016-02-02,89.928,552.1,10.0048
2016-02-03,91.7079,531.07,9.9613
2016-02-04,92.4448,536.26,10.0222
2016-02-05,89.9758,502.13,9.9526
2016-02-08,90.9232,488.1,10.0743
2016-02-09,90.9041,482.07,9.8657
2016-02-10,90.215,490.48,9.857
2016-02-11,89.6696,503.82,9.7092
2016-02-12,89.9471,507.08,10.0396
2016-02-16,92.4831,521.1,10.3177
2016-02-17,93.8994,534.1,10.6654
2016-02-18,92.1195,525.0,10.6567
2016-02-19,91.9089,534.9,10.5176
2016-02-22,92.7128,559.5,10.9175
2016-02-23,90.617,552.94,10.7958
2016-02-24,91.9663,554.04,10.5002
2016-02-25,92.5979,555.15,10.7697
2016-02-26,92.7415,555.23,10.8392
2016-02-29,92.531,552.52,10.874
2016-03-01,96.2058,579.04,11.3782
2016-03-02,96.4163,580.21,11.4912
2016-03-03,97.1341,577.49,11.7693
2016-03-04,98.5791,575.14,11.8128
2016-03-07,97.4881,562.8,11.8389
2016-03-08,96.6843,560.26,11.4999
2016-03-09,96.7704,559.47,11.4651
2016-03-10,96.8183,558.93,11.4303
2016-03-11,97.8614,569.61,11.552
2016-03-14,98.1102,573.37,11.5346
2016-03-15,100.0816,577.02,11.4999
2016-03-16,101.4118,574.27,11.7345
2016-03-17,101.2491,559.44,11.7085
2016-03-18,101.3639,552.08,11.8562
2016-03-21,101.3544,553.98,11.8736
2016-03-22,102.1295,560.48,11.8128
2016-03-23,101.5649,569.63,11.5259
2016-03-24,101.1247,582.95,11.3521
2016-03-28,100.6653,579.87,11.3782
2016-03-29,103.0482,593.86,11.4738
2016-03-30,104.8474,598.69,11.6042
2016-03-31,104.3019,593.64,11.7345
2016-04-01,105.2589,598.5,11.3869
2016-04-04,106.3403,593.19,11.1261
2016-04-05,105.0866,586.14,11.1
2016-04-06,106.1871,602.08,11.1435
2016-04-07,103.8712,591.43,10.8827
2016-04-08,103.9861,594.6,10.9088
2016-04-11,104.3306,595.93,11.0044
2016-04-12,105.6895,603.17,11.1348
2016-04-13,107.2207,614.82,11.3521
2016-04-14,107.2781,620.75,11.3782
2016-04-15,105.1249,625.89,11.2478
2016-04-18,102.8568,635.35,11.5172
2016-04-19,102.3113,627.9,11.6824
2016-04-20,102.5219,632.99,11.8562
2016-04-21,101.4118,631.0,11.8649
2016-04-22,101.1343,620.5,11.8302
2016-04-25,100.5601,626.2,11.8041
2016-04-26,99.8615,616.88,11.9518
2016-04-27,93.6123,606.57,12.0046
2016-04-28,90.751,602.0,12.3825
2016-04-29,89.7078,659.59,11.9167
2016-05-02,89.6121,683.85,11.9694
2016-05-03,91.0859,671.32,11.8025
2016-05-04,90.1385,670.9,11.697
2016-05-05,89.7727,659.09,11.7058
2016-05-06,89.272,673.95,11.8112
2016-05-09,89.3394,679.75,11.7058
2016-05-10,89.946,703.07,11.8552
2016-05-11,89.0698,713.23,11.7058
2016-05-12,86.9805,717.93,11.7321
2016-05-13,87.1538,709.92,11.6179
2016-05-16,90.3889,710.66,11.7058
2016-05-17,90.0134,695.27,11.5476
2016-05-18,91.0436,697.45,11.5652
2016-05-19,90.697,698.52,11.5037
2016-05-20,91.679,702.8,11.5915
2016-05-23,92.844,696.75,11.5388
2016-05-24,94.2594,704.2,11.6794
2016-05-25,95.9154,708.35,11.8815
2016-05-26,96.676,714.91,11.8288
2016-05-27,96.6183,712.24,11.82
2016-05-31,96.1465,722.79,11.8552
2016-06-01,94.7985,719.44,11.5212
2016-06-02,94.0861,728.24,11.6091
2016-06-03,94.2786,725.54,11.4597
2016-06-06,94.9622,726.73,11.5827
2016-06-07,95.3473,723.74,11.7585
2016-06-08,95.2607,726.64,11.7409
2016-06-09,95.9443,727.65,11.6531
2016-06-10,95.1548,717.91,11.5124
2016-06-13,93.7202,715.24,11.407
2016-06-14,93.8357,719.3,11.284
2016-06-15,93.5276,714.26,11.4334
2016-06-16,93.9224,717.51,11.53
